English,Hindi
"Urea and single supper phosphate @ 200 kg and 300 kg / ha / year, respectively are also recommended for fortnight application in split doses as inorganic fertilizer source.",यूरिया और सिंगल सुपर फॉस्फेेट क्रमशः 200 किलोग्राम और 300 किलोग्राम प्रतिवर्ष प्रति हेक्टेदयर के हिसाब से 15 दिनों में अजैविक खाद की तरह इस्ते माल करने की सलाह दी जाती है।
He changed his name in his writings because of the English people.,इसपर अँग्रेज़ी सरकार की रोक और चेतावनी के कारण उन्हें नाम बदलकर लिखना पड़ा।
uncomplete,शेष
Poornaprajna is awareness and understanding of the Whole.,पूर्णप्रज्ञा का अर्थ है उसी संपूर्ण का ज्ञान और समझ।
Public were enraged at the punitive measures taken by the administration.,प्रशासन द्वारा दंडात्मक कार्रवाई से जनता भड़क उठी।
unrivaled,बेनजीर
Courageous or brave person.,साहसी या वीर व्यक्ति।
A backward bending.,पिछे की ओर झुकाव.
hail showers,ओलों की बौछारweather forecast
There have been certain positive developments in international affairs in recent years.,हाल के वर्षों में अतंर्राष्ट्रीय क्षेत्र में कुछ लाभदायक गतिविधयां देखने में आई हैं।
Time was running out.,समय कम था।
The bank started a phased payment scheme for repayment of loans by poor farmers.,बैंक ने गरीब किसानों की ऋण चुकौति के लिए चरणबद्ध चुकौती कार्यक्रम शुरू किया।
Today Indian umpires are as good as any in the world.,गावस्कर भारतीय अम्पायरों का स्तर आज उतना ही ऊचां है जितना दुनिया के दूसरे देशों में।
filarial worm,फाइलेरियाई कृमि
He is considered as one of the most eminent persons of the this world.,उनको इस विश्व के सबसे महान व्यक्तियों में से एक माना जाता है।
Bee keeping is an activity allied to agriculture.,मधुमक्खी पालन कृषि से सहबद्ध एक व्यवसाय है।
Decompressing archive,अभिलेख असंपीडित कर रहे
Sickly,"अस्वस्थ, रुग्ण"
"""The people of the Pharaoh: will they not fear Allah?""",क्या ये लोग (मेरे ग़ज़ब से) डरते नहीं है
"There has been consistent efforts to deregulate and simplify procedures, to remove quantitative restrictions in a phased manner and create a congenial environment for the exporting community.",निर्यातकों के लिए परिमाण या मात्रा संगंधी संख्यात्मक प्रतिबन्ध धीरे-धीरे समाप्त करने और अनुकुल वातावरण निर्मित करने के उद्देश्य से नियंत्रण हटाने और प्रक्रियाओं को सरल बनाने के निरन्तर प्रयास चल रहे हैं।
Rafi Latamangeshkar together.,रफ़ी-लता मंगेशकर के साथ
Attock,अटक
PRESIDENT OF INDIA DELIVERS ADDRESS AT UNIVERSITY OF CYPRUS; SAYS PURSUIT OF EXCELLENCE SHOULD INSPIRE MINDS OF FUTURE GENERATIONS,भारत के राष्ट्रपति ने साइप्रस विश्वविद्यालय में सम्बोधन दिया; कहा कि भावी पीढ़ी की सोच उत्कृठता की चाह से प्रेरित होनी चाहिए
arizona,एरिज़ोना
Railway Board;,रेलवे बोर्ड;
Walmart,वॉल मार्ट
Transport effort measured in terms of net tonne kilometres (NTkm) increased from 38 billion in 1950 - 51 to 581 billion in 2007 - 2008.,"रेल माल ढुलाई को शुद्ध टन कि. मी. के स्तर में देखें तो यह वर्ष 1950-51 की अवधि में 38 अरब थी, जो वर्ष 2007-08 में बढ़कर 581 अरब हो गई।"
& Test,जांच (T)
L 'Aquila,ल 'अकिलाitalyprovince. kgm
"So his Lord answered him and turned away their stratagems from him. Indeed, He is the All - hearing, the All - knowing.",तो उनके परवरदिगार ने उनकी सुन ली और उन औरतों के मकर को दफा कर दिया इसमें शक़ नहीं कि वह बड़ा सुनने वाला वाक़िफकार है
and be meek to the believers who follow you.,और जो मोमिनीन तुम्हारे पैरो हो गए हैं उनके सामने अपना बाजू झुकाओ
"When kirtana was established by him as a fervent religious song, dance was considered an integral part of the same.","जब उन्होंने उत्कट धार्मिक गान के रूप में प्रतिष्ठा की, तब नृत्य को भी उसका अंगभूत माना गया।"
idli,इडली
"Thus are made possible the final steps when the veil of Nature is withdrawn and the seeker is face to face with the Master of all existence and his activities are merged in the action of a supreme Energy which is pure, true, perfect and blissful for ever.","इस प्रकार के अंतिम पग उठाये जा सकते हैं जिनसे प्रकृति का पर्दा हट सकता है और जिज्ञासु समस्त सत्ता के स्वामी का साक्षात्कार कर सकता है और उसके सभी कर्म उस परम शक्ति के कर्म के निमज्जित हो सकते हैं जो सदा शुद्ध, सत्य, पूर्ण और आनन्दमय है।"
"And he sensed within himself apprehension, did Moses.",तो मूसा ने अपने दिल में कुछ दहशत सी पाई
foreigner,दूसरा
Save & Background Image As...,पृष्ठ भूमि छवि को ऐसे सहेजें... (B)
Icon:,प्रतीकः
Ceremony in which some one is officially introduced into an organisation.,वह समारोह जो किसी को पहली बार किसी संस्था/संगठन में प्रवेश-परिचय के अवसर पर आयोजित हो।
